Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
9/4/26,679.17,3.16,0.467448706,674.84,-1.17,-0.173074363,681.16,5.15,0.76182305,673.77,-2.24,-0.331356045
8/4/26,676.01,16.79,2.546949425,676.39,17.17,2.604593307,677.08,17.86,2.709262462,671.46,12.24,1.856739783
7/4/26,659.22,0.29,0.044010745,656.65,-2.28,-0.34601551,659.61,0.68,0.103197608,651.06,-7.87,-1.194360554
6/4/26,658.93,3.1,0.47268347,655.86,0.03,0.004574356,659.72,3.89,0.593141515,655.52,-0.31,-0.047268347
2/4/26,655.83,0.59,0.090043343,646.42,-8.82,-1.346071668,658.2,2.96,0.451742873,645.11,-10.13,-1.545998413
1/4/26,655.24,4.9,0.75345204,653.9,3.56,0.547405972,658.52,8.18,1.25780361,653,2.66,0.409016822
31/3/26,650.34,18.37,2.90678355,638.94,6.97,1.102900454,651.54,19.57,3.096665981,637.98,6.01,0.950994509
30/3/26,631.97,-2.12,-0.334337397,640.11,6.02,0.949392042,640.37,6.28,0.990395685,629.28,-4.81,-0.758567396
27/3/26,634.09,-11,-1.705188423,642.5,-2.59,-0.401494365,642.66,-2.43,-0.376691624,633.105,-11.985,-1.857880296
26/3/26,645.09,-11.73,-1.785877409,652.06,-4.76,-0.724703876,654.85,-1.97,-0.299929966,644.82,-12,-1.826984562
25/3/26,656.82,3.64,0.557273646,658.67,5.49,0.840503383,660.89,7.71,1.180379069,654.24,1.06,0.162282985
24/3/26,653.18,-2.2,-0.335683115,651.32,-4.06,-0.619487931,657.03,1.65,0.251762336,649.88,-5.5,-0.839207788
23/3/26,655.38,6.81,1.050002313,658.07,9.5,1.464760936,662.615,14.045,2.165533404,653.94,5.37,0.827975392
20/3/26,648.57,-11.23,-1.702030918,656.51,-3.29,-0.49863595,656.69,-3.11,-0.471354956,644.72,-15.08,-2.285541073
19/3/26,659.8,-1.63,-0.246435753,656.97,-4.46,-0.6742966,662.98,1.55,0.234340747,655.17,-6.26,-0.946434241
18/3/26,661.43,-9.36,-1.395369639,668.36,-2.43,-0.362259425,669.72,-1.07,-0.15951341,661.19,-9.6,-1.431148347
17/3/26,670.79,1.76,0.263067426,672.39,3.36,0.502219631,674.44,5.41,0.808633395,669.7,0.67,0.100144986
16/3/26,669.03,6.74,1.017681076,668.38,6.09,0.919536759,672.07,9.78,1.476694499,667.12,4.83,0.729287774
13/3/26,662.29,-3.77,-0.566015074,669.27,3.21,0.481938564,672.335,6.275,0.942107318,661.36,-4.7,-0.705642134
12/3/26,666.06,-10.27,-1.518489495,671.16,-5.17,-0.764419736,671.65,-4.68,-0.691969896,665.87,-10.46,-1.54658229
11/3/26,676.33,-0.85,-0.125520541,677.58,0.4,0.05906849,680.08,2.9,0.428246552,673.34,-3.84,-0.567057503
10/3/26,677.18,-1.09,-0.160702965,677.72,-0.55,-0.081088652,683.36,5.09,0.750438616,674.76,-3.51,-0.517493034
9/3/26,678.27,5.89,0.875992742,666.39,-5.99,-0.890865285,679.92,7.54,1.12138969,662.39,-9.99,-1.485766977
6/3/26,672.38,-8.93,-1.310710249,673.41,-7.9,-1.159530904,676.11,-5.2,-0.763235532,669.76,-11.55,-1.695263536
5/3/26,681.31,-3.82,-0.55755842,682.08,-3.05,-0.445170989,685.53,0.4,0.058383081,675.61,-9.52,-1.389517318
4/3/26,685.13,4.8,0.705539959,681.63,1.3,0.191083739,687.09,6.76,0.993635442,679.62,-0.71,-0.104361119
3/3/26,680.33,-6.05,-0.881435939,675.06,-11.32,-1.649232204,682.61,-3.77,-0.549258428,669.66,-16.72,-2.435968414
