date,close,daily_return,volume,temperature,humidity,cloud_cover,wind_speed,good_weather
2025-11-10,309.13,0.008975781708988828,2975188,10.1,84,72,17.3,0
2025-11-11,313.72,0.014848122149257792,4381913,2.4,58,66,28.2,0
2025-11-12,314.98,0.004016320285604946,6042686,5.5,60,83,15.6,0
2025-11-13,304.86,-0.03212902406502005,5310150,7.3,65,25,21.1,0
2025-11-14,305.69,0.0027225611756216406,3592455,6.3,64,37,16.5,1
2025-11-17,297.17,-0.027871372959534124,3909741,4.0,50,27,25.5,0
2025-11-18,289.95,-0.024295857589931802,4861928,4.5,54,46,16.1,0
2025-11-19,288.53,-0.004897396102776397,3595912,4.8,78,79,8.7,0
2025-11-20,290.4,0.0064811284788410806,5597028,3.2,72,67,6.6,0
2025-11-21,297.44,0.0242424242424244,5710903,6.9,83,99,14.4,0
2025-11-24,304.12,0.02245831091984951,6050640,6.8,61,26,13.5,1
2025-11-25,304.48,0.0011837432592398667,2825322,7.7,79,100,18.0,0
2025-11-26,303.21,-0.004171045717288657,2196446,13.2,92,80,17.6,0
2025-11-28,308.58,0.017710497674878756,1689031,2.5,51,12,25.9,0
2025-12-01,305.67,-0.00943029360295533,3166555,3.2,57,53,17.8,0
2025-12-02,301.78,-0.012726142572054955,4261100,0.8,87,100,17.2,0
2025-12-03,302.62,0.0027834846576977323,3953390,1.2,70,28,17.7,0
2025-12-04,307.99,0.017745026766241567,2962463,0.6,66,31,20.4,0
2025-12-05,307.94,-0.0001623429332121562,2344667,-3.5,56,62,14.5,0
2025-12-08,309.18,0.004026758459440227,3615794,-1.8,48,81,18.6,0
2025-12-09,310.48,0.004204670418526568,2914275,-3.9,42,55,15.8,0
2025-12-10,312.67,0.007053594434424104,3411524,2.5,77,99,18.3,0
2025-12-11,310.74,-0.006172642082707069,2755749,0.8,58,47,24.1,0
2025-12-12,309.24,-0.004827186715582132,2953374,-1.9,48,1,16.1,0
2025-12-15,308.66,-0.0018755659035053496,3566732,-6.2,70,46,18.1,0
2025-12-16,303.18,-0.017754163156871727,3366878,-5.6,75,55,11.7,0
2025-12-17,303.32,0.0004617718846888774,3130954,-0.6,71,60,14.5,0
2025-12-18,300.45,-0.009461954371620784,5411669,1.6,86,49,12.2,0
2025-12-19,300.98,0.001764020635713237,11031341,9.0,80,83,30.6,0
2025-12-22,302.79,0.006013688617183766,2612100,-0.6,56,36,14.1,0
2025-12-23,303.78,0.0032695927870800556,2923037,1.4,84,99,10.8,0
2025-12-24,304.56,0.002567647639739379,1210642,3.4,71,39,24.6,0
2025-12-26,305.09,0.0017402153926975306,2814732,-4.1,56,83,12.0,0
2025-12-29,305.74,0.0021305188632863015,4664711,3.5,84,85,23.8,0
2025-12-30,302.05,-0.01206907830182502,1883651,-1.3,47,82,25.5,0
2025-12-31,296.21,-0.019334547260387414,3430133,-2.2,50,76,16.5,0
2026-01-02,291.5,-0.015900881131629574,4662804,-4.4,61,82,14.4,0
2026-01-05,294.97,0.011903945111492398,4189960,-1.8,72,74,12.6,0
2026-01-06,302.47,0.025426314540461847,4147315,1.0,84,98,7.5,0
2026-01-07,296.73,-0.018977088636889627,2833274,4.8,83,74,18.0,0
2026-01-08,302.72,0.020186701715364075,3343273,5.1,77,8,10.5,1
2026-01-09,304.22,0.004955073995771775,2718828,5.4,85,70,16.8,0
2026-01-12,312.18,0.026165275129840238,3895197,1.3,57,27,22.6,0
2026-01-13,303.16,-0.028893587033121837,4507760,2.7,64,54,15.5,0
2026-01-14,309.03,0.019362712758939082,3779045,6.4,66,100,10.0,0
2026-01-15,297.95,-0.035854124195061954,4932480,2.4,62,46,19.7,0
2026-01-16,305.67,0.025910387648934385,6199635,-2.9,43,28,20.7,0
